index,Ring Structure,中文名称,name,smiles,分子量,priority,SMARTs
155,PYRAZINEs2s3,,,,,0,[cH1]:[cH1]:n:[cH0;!R2]:[cH0;!R2]:n
156,PYRAZINEs2s5,,,,,0,[cH1]:[cH0]:n:[cH1]:[cH0]:n
157,PYRAZINEs2s6,,,,,0,[cH0]:[cH1]:n:[cH1]:[cH0]:n
158,PYRAZINEs2s3s5,,,,,0,[cH1]:[cH0]:n:[cH0;!R2]:[cH0;!R2]:n
159,PYRAZINEs2s3s5s6,,,,,0,[cH0;!R2]:[cH0;!R2]:n:[cH0;!R2]:[cH0;!R2]:n
160,BENZOFURAN,苯并呋喃,benzofuran,C1=CC=C2C(=C1)C=CO2,118,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:o:2
161,BENZOFURANs2,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH0]:o:2
162,BENZOFURANs3,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH0]:[cH1]:o:2
163,BENZOFURANs4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):[cH1]:[cH1]:o:2
164,BENZOFURANs5,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:o:2
165,BENZOFURANs6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:o:2
166,BENZOFURANs7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH1]:[cH1]:o:2
167,BENZOFURANs2s3,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:o:2
168,BENZOFURANs2s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):[cH1]:[cH0]:o:2
169,BENZOFURANs2s5,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH0]:o:2
170,BENZOFURANs2s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH0]:o:2
171,BENZOFURANs2s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH1]:[cH0]:o:2
172,BENZOFURANs3s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):[cH0]:[cH1]:o:2
173,BENZOFURANs3s5,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH0]:[cH1]:o:2
174,BENZOFURANs3s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):[cH0]:[cH1]:o:2
175,BENZOFURANs3s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH0]:[cH1]:o:2
176,BENZOFURANs4s5,,,,,0,[cH0;!R2]1:[cH1]:[cH1]:c2:c(:[cH0;!R2]:1):[cH1]:[cH1]:o:2
177,BENZOFURANs4s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH0]:1):[cH1]:[cH1]:o:2
178,BENZOFURANs4s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH0]:1):[cH1]:[cH1]:o:2
179,BENZOFURANs5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH1]:o:2
180,BENZOFURANs5s7,,,,,0,[cH0;!R2]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH1]:[cH1]:o:2
181,BENZOFURANs6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH1]:[cH1]:o:2
182,BENZOFURANs2s3s4,,,,,0,[cH1]1:[cH1]:[cH1]:c2:c(:[cH0]:1):[cH0;!R2]:[cH0;!R2]:o:2
183,BENZOFURANs2s3s5,,,,,0,[cH0]1:[cH1]:[cH1]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:o:2
184,BENZOFURANs2s3s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:o:2
185,BENZOFURANs2s3s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:o:2
186,BENZOFURANs2s4s5,,,,,0,[cH0;!R2]1:[cH1]:[cH1]:c2:c(:[cH0;!R2]:1):[cH1]:[cH0]:o:2
187,BENZOFURANs2s4s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH0]:1):[cH1]:[cH0]:o:2
188,BENZOFURANs2s4s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH0]:1):[cH1]:[cH0]:o:2
189,BENZOFURANs2s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH1]:1):[cH1]:[cH0]:o:2
190,BENZOFURANs2s5s7,,,,,0,[cH0]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH1]:[cH0]:o:2
191,BENZOFURANs2s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH1]:[cH0]:o:2
192,BENZOFURANs3s4s5,,,,,0,[cH0;!R2]1:[cH1]:[cH1]:c2:c(:[cH0;!R2]:1):[cH0]:[cH1]:o:2
193,BENZOFURANs3s4s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH0]:1):[cH0]:[cH1]:o:2
194,BENZOFURANs3s4s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH0]:1):[cH0]:[cH1]:o:2
195,BENZOFURANs3s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH1]:1):[cH0]:[cH1]:o:2
196,BENZOFURANs3s5s7,,,,,0,[cH0;!R2]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH0]:[cH1]:o:2
197,BENZOFURANs3s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH0]:[cH1]:o:2
198,BENZOFURANs4s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH0;!R2]:1):[cH1]:[cH1]:o:2
199,BENZOFURANs4s5s7,,,,,0,[cH0;!R2]1:[cH1]:[cH0;!R2]:c2:c(:[cH0;!R2]:1):[cH1]:[cH1]:o:2
200,BENZOFURANs4s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0]:1):[cH1]:[cH1]:o:2
201,BENZOFURANs5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH1]:[cH1]:o:2
202,BENZOFURANs2s3s4s5,,,,,0,[cH0;!R2]1:[cH1]:[cH1]:c2:c(:[cH0;!R2]:1):[cH0;!R2]:[cH0;!R2]:o:2
203,BENZOFURANs2s3s4s6,,,,,0,[cH1]1:[cH0]:[cH1]:c2:c(:[cH0]:1):[cH0;!R2]:[cH0;!R2]:o:2
204,BENZOFURANs2s3s4s7,,,,,0,[cH1]1:[cH1]:[cH0]:c2:c(:[cH0]:1):[cH0;!R2]:[cH0;!R2]:o:2
205,BENZOFURANs2s3s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:o:2
206,BENZOFURANs2s3s5s7,,,,,0,[cH0]1:[cH1]:[cH0]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:o:2
207,BENZOFURANs2s3s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH0;!R2]:[cH0;!R2]:o:2
208,BENZOFURANs2s4s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH0;!R2]:1):[cH1]:[cH0]:o:2
209,BENZOFURANs2s4s5s7,,,,,0,[cH0;!R2]1:[cH1]:[cH0]:c2:c(:[cH0;!R2]:1):[cH1]:[cH0]:o:2
210,BENZOFURANs2s4s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0]:1):[cH1]:[cH0]:o:2
211,BENZOFURANs2s5s6s7,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH1]:1):[cH1]:[cH0]:o:2
212,BENZOFURANs3s4s5s6,,,,,0,[cH0;!R2]1:[cH0;!R2]:[cH1]:c2:c(:[cH0;!R2]:1):[cH0]:[cH1]:o:2
213,BENZOFURANs3s4s5s7,,,,,0,[cH0;!R2]1:[cH1]:[cH0]:c2:c(:[cH0;!R2]:1):[cH0]:[cH1]:o:2
214,BENZOFURANs3s4s6s7,,,,,0,[cH1]1:[cH0;!R2]:[cH0;!R2]:c2:c(:[cH0]:1):[cH0]:[cH1]:o:2
