,,,index,comp1,comp2,P,a,a12,b12,a21,b21,comp1_antoine1,comp1_antoine2,comp1_antoine5,comp1_antoine6,comp1_antoine7,comp2_antoine1,comp2_antoine2,comp2_antoine5,comp2_antoine6,comp2_antoine7
isopropanol,isobutanol,0,53,isopropanol,isobutanol,101300,0.3,0,86.175,0,-91.2261,99.20707454,-9040,-12.676,5.54E-06,2,110.2670745,-10504,-13.921,1.69E-17,6
isopropanol,1-pentanol,0,54,isopropanol,1-pentanol,101300,0.3,0,138.7109,0,-149.6515,99.20707454,-9040,-12.676,5.54E-06,2,103.2370745,-10643,-12.858,1.25E-17,6
isopropanol,benzene,1,55,isopropanol,benzene,101300,0.3,-0.1279,148.1214,-0.7484,713.3123,99.20707454,-9040,-12.676,5.54E-06,2,71.59407454,-6486.2,-9.2194,6.98E-06,2
isopropanol,toluene,1,56,isopropanol,toluene,101300,0.3,0,208.6586,0,326.7016,99.20707454,-9040,-12.676,5.54E-06,2,65.43207454,-6729.8,-8.179,5.30E-06,2
isopropanol,acetone,0,57,isopropanol,acetone,101300,0.3,2.4494,-583.3452,-2.4106,822.4892,99.20707454,-9040,-12.676,5.54E-06,2,46.43407454,-5355.3,-5.2106,1.24E-14,5
isopropanol,ethyl-formate,0,58,isopropanol,ethyl-formate,101300,0.3,0,224.2764,0,151.2064,99.20707454,-9040,-12.676,5.54E-06,2,62.32007454,-5817,-7.809,6.32E-06,2
isopropanol,methyl-acetate,0,59,isopropanol,methyl-acetate,101300,0.3,0,141.6236,0,160.1545,99.20707454,-9040,-12.676,5.54E-06,2,49.75407454,-5618.6,-5.6473,2.11E-17,6
isopropanol,ethyl-acetate,1,60,isopropanol,ethyl-acetate,101300,0.3,-4.2796,1431.6331,2.4289,-554.6319,99.20707454,-9040,-12.676,5.54E-06,2,55.31107454,-6227.6,-6.41,1.79E-17,6
isopropanol,ethylene-glycol,0,61,isopropanol,ethylene-glycol,101300,0.3,-8.6577,3473.7336,11.6827,-4342.4561,99.20707454,-9040,-12.676,5.54E-06,2,80.08107454,-10811,-9.2821,3.02E-18,6
isopropanol,12-propanediol,0,62,isopropanol,12-propanediol,101300,0.3,0,67.1361,0,123.6969,99.20707454,-9040,-12.676,5.54E-06,2,123.9770745,-12483,-16.019,6.46E-06,2
